Mn,Ni,Mg,Ca,Fe,La,Y,In,J.uAcm2_0.80_fromCV,J.uAcm2_0.63_secondCA,J.uAcm2_0.63_initialCA
0.3,0.5,0,0.2,0,0,0,0,506.68395,2279.264286,1455.604762
0.1,0.3,0.2,0.4,0,0,0,0,463.0535,2278.569048,1835.1
0.1,0,0.5,0.1,0,0,0.3,0,643.916135,2275.857143,1240.171429
0.6,0,0.2,0.1,0.1,0,0,0,618.935,2272.457143,2758.880952
0.1,0,0.8,0.1,0,0,0,0,596.6111,2272.042857,2010.319048
0.2,0.1,0,0,0.4,0,0.3,0,786.1215,2270.4,700.7604762
0.1,0,0.8,0,0,0.1,0,0,763.8425,2270.395238,1403.757143
0.6,0,0.1,0.1,0.2,0,0,0,657.0365,2268.12381,3074.602381
0.4,0.2,0,0,0.4,0,0,0,664.67425,2265.22619,3142.021429
0.5,0.3,0,0,0.1,0,0.1,0,757.71025,2265.22619,1952.87619
0,0.3,0.3,0,0.2,0,0.2,0,557.5495,2264.057143,500.6095238
0.4,0.2,0,0,0.3,0,0.1,0,686.68975,2262.288095,2136.169048
0.2,0.1,0,0.1,0.6,0,0,0,543.4643,2261.004762,2225.883333
0.5,0.1,0.3,0.1,0,0,0,0,,2257.852381,2992.947619
0.1,0,0,0.4,0.1,0,0.4,0,454.374,2256.895238,2133.385714
0.4,0,0,0,0.5,0.1,0,0,640.6892675,2255.038095,2029.77381
0,0.4,0,0.1,0.1,0.4,0,0,566.99045,2249.561905,
0.3,0,0,0,0.1,0.6,0,0,562.8490275,2249.16119,1073.527143
0,0.6,0.2,0.1,0,0.1,0,0,672.784,2243.142857,424.4161905
0.2,0,0,0.3,0.3,0.2,0,0,720.797,2242.990476,2276.37619
0.9,0.1,0,0,0,0,0,0,1130.7295,2242.471429,1917.4
0.4,0,0,0.1,0.4,0,0.1,0,779.9395,2241.266667,2846.7
0,0.4,0.1,0.4,0,0.1,0,0,712.9524,2240.461905,654.1780952
0.4,0.2,0,0.4,0,0,0,0,574.713775,2238.928571,1728.695238
0.7,0.1,0,0,0.2,0,0,0,724.1865,2238.847619,3390.019048
